SDSS_objID,redshift,M_r,M_r_err,gr,gr_err,logab,fracDeV,red
587728920062197912,0.0719,-21.35,0.01,0.590,0.017,0.119,0.00,0
587736543103943093,0.0626,-20.95,0.01,0.460,0.018,0.082,0.00,0
587739407849095205,0.0593,-21.39,0.01,0.311,0.016,0.046,0.41,0
587739133490823220,0.0504,-21.03,0.01,0.482,0.017,0.063,0.16,0
587724232105525367,0.0559,-21.53,0.00,0.509,0.016,0.052,0.01,0
587741709418233965,0.0687,-22.27,0.03,0.524,0.034,0.158,0.44,0
588015507665715338,0.0737,-20.77,0.01,0.543,0.024,0.106,0.00,0
587725474419245195,0.0523,-22.06,0.00,0.577,0.016,0.137,0.18,0
587736620398477537,0.0452,-20.18,0.01,0.390,0.018,0.147,0.23,0
587738948282417242,0.0393,-20.60,0.01,0.556,0.017,0.117,0.02,0
588017566560354392,0.0826,-22.18,0.01,0.551,0.019,0.036,0.06,0
588017604156457121,0.0812,-21.74,0.01,0.599,0.017,0.011,0.27,0
587736940377866553,0.0845,-20.83,0.01,0.502,0.029,0.122,0.03,0
587739721898459204,0.0303,-20.81,0.01,0.456,0.016,0.042,0.24,0
587741708341280890,0.0448,-21.44,0.00,0.695,0.015,0.064,0.31,1
587728679543439468,0.0647,-22.15,0.00,0.619,0.015,0.106,0.14,0
587728309098971265,0.0782,-21.35,0.01,0.377,0.018,0.055,0.00,0
588017625077973090,0.0700,-21.05,0.01,0.640,0.021,0.153,0.38,0
587738569778593963,0.0788,-21.20,0.01,0.373,0.022,0.066,0.29,0
587739815851065538,0.0383,-20.38,0.01,0.486,0.027,0.076,0.31,0
587731513147982022,0.0765,-21.86,0.01,0.567,0.018,0.151,0.21,0
587724648182120707,0.0431,-20.35,0.01,0.367,0.020,0.089,0.17,0
587725492136443912,0.0531,-21.68,0.00,0.572,0.015,0.136,0.14,0
587738411407376559,0.0646,-20.40,0.02,0.283,0.025,0.083,0.21,0
587741532240609430,0.0756,-21.87,0.01,0.666,0.017,0.159,0.21,0
587730773883813917,0.0606,-20.71,0.01,0.452,0.026,0.186,0.37,0
587738615415373906,0.0521,-20.95,0.01,0.469,0.016,0.147,0.20,0
587739406765850671,0.0463,-21.45,0.01,0.566,0.017,0.135,0.00,0
587736783606382788,0.0321,-21.54,0.01,0.667,0.018,0.104,0.44,1
587726032788914313,0.0816,-21.90,0.01,0.533,0.017,0.005,0.36,0
588017978368589886,0.0588,-20.86,0.04,0.553,0.051,0.116,0.02,0
587727227839512712,0.0361,-20.70,0.01,0.479,0.018,0.113,0.00,0
587736585504817341,0.0703,-21.47,0.01,0.611,0.016,0.189,0.17,0
588018091079499855,0.0520,-22.12,0.33,0.615,0.545,0.066,0.16,0
587741532769419550,0.0609,-20.81,0.01,0.513,0.018,0.146,0.31,0
588023045867176138,0.0517,-21.51,0.00,0.675,0.015,0.126,0.18,1
587724240695853112,0.0507,-21.55,0.01,0.476,0.023,0.027,0.13,0
588017625624543457,0.0621,-20.72,0.01,0.484,0.019,0.068,0.26,0
588017947199209498,0.0733,-21.94,0.01,0.629,0.018,0.167,0.10,0
